date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:15:33	408/408	---MC-	302	error ('Found')	text/html	date:Thu,%2013%20Jun%202019%2016:45:55%20GMT	https://adminlte.io/docs	C:/My%20Web%20Sites/web1/adminlte.io/docs.0.delayed	(from )
22:15:34	15736/15736	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2016:45:55%20GMT	https://adminlte.io/docs/2.4/installation	C:/My%20Web%20Sites/web1/adminlte.io/docs/2.4/installation.html	(from )
22:15:36	24/24	---M--	200	added ('OK')	text/plain	etag:%225909dd5f-18%22	https://adminlte.io/robots.txt		(from )
22:15:36	3395/3395	---M--	200	added ('OK')	image/png	etag:%225909dd5f-d43%22	https://adminlte.io/img/favicon.png?v=1.2	C:/My%20Web%20Sites/web1/adminlte.io/img/favicon7839.png	(from https://adminlte.io/docs/2.4/installation)
22:15:38	62917/62917	---M--	200	added ('OK')	image/png	etag:%225909dd5f-f5c5%22	https://adminlte.io/img/AdminLTE2.1.png	C:/My%20Web%20Sites/web1/adminlte.io/img/AdminLTE2.1.png	(from https://adminlte.io/docs/2.4/installation)
22:15:38	121457/121457	---MCZ	200	added ('OK')	text/css	etag:W/%225cff6313-1da71%22	https://adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/web1/adminlte.io/themes/AdminLTE/bower_components/bootstrap/dist/css/bootstrap.min.css	(from https://adminlte.io/docs/2.4/installation)
22:15:39	91729/91729	---MCZ	200	added ('OK')	text/css	etag:W/%225cff7c41-16651%22	https://adminlte.io/themes/AdminLTE/dist/css/AdminLTE.min.css?version=2.4	C:/My%20Web%20Sites/web1/adminlte.io/themes/AdminLTE/dist/css/AdminLTE.min017e.css	(from https://adminlte.io/docs/2.4/installation)
22:15:40	41635/41635	---MCZ	200	added ('OK')	text/css	etag:W/%225cff7c49-a2a3%22	https://adminlte.io/themes/AdminLTE/dist/css/skins/_all-skins.min.css?version=2.4	C:/My%20Web%20Sites/web1/adminlte.io/themes/AdminLTE/dist/css/skins/_all-skins.min017e.css	(from https://adminlte.io/docs/2.4/installation)
22:15:41	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/web1/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://adminlte.io/docs/2.4/installation)
22:15:42	4509/4509	---MCZ	200	added ('OK')	text/css	etag:W/%225a1872fc-119d%22	https://adminlte.io/css/docs.css?version=2.4	C:/My%20Web%20Sites/web1/adminlte.io/css/docs017e.css	(from https://adminlte.io/docs/2.4/installation)
22:15:42	51284/51284	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4945-c854%22	http://cdnjs.cloudflare.com/ajax/libs/ionicons/2.0.1/css/ionicons.min.css	C:/My%20Web%20Sites/web1/cdnjs.cloudflare.com/ajax/libs/ionicons/2.0.1/css/ionicons.min.css	(from https://adminlte.io/docs/2.4/installation)
22:15:43	113555/113555	---MCZ	200	added ('OK')	text/html	etag:W/%225cff6194-1bb93%22	https://adminlte.io/themes/AdminLTE/documentation/index.html	C:/My%20Web%20Sites/web1/adminlte.io/themes/AdminLTE/documentation/index.html	(from https://adminlte.io/docs/2.4/installation)
22:15:44	43964/43964	---MC-	200	added ('OK')	text/javascript	date:Tue,%2021%20May%202019%2023:53:44%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/web1/www.google-analytics.com/analytics.js	(from https://adminlte.io/docs/2.4/installation)
22:15:45	30613/30613	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202019%2016:46:06%20GMT	https://adminlte.io/	C:/My%20Web%20Sites/web1/adminlte.io/index.html	(from https://adminlte.io/docs/2.4/installation)
